Epoch 134: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 135: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 136: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 137: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 138: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 139: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 140: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 141: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 142: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 143: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 144: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 145: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 146: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 147: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 148: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 149: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 150: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 151: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 152: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 153: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 154: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 155: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 156: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.146
Epoch 157: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 158: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 159: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 160: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 161: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 162: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 163: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 164: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 165: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 166: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 167: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 168: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 169: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 170: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 171: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 172: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 173: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 174: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 175: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 176: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 177: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 178: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 179: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 180: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 181: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 182: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 183: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 184: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 185: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 186: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 187: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 188: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.146
Epoch 189: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 190: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 191: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 192: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 193: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 194: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 195: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 196: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 197: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
