Epoch 156: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.130
Epoch 157: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 158: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 159: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 160: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 161: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.130
Epoch 162: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 163: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 164: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 165: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.132
Epoch 166: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 167: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 168: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 169: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 170: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 171: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 172: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 173: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 174: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 175: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 176: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 177: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 178: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 179: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 180: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 181: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 182: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 183: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 184: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 185: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 186: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 187: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.129
Epoch 188: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.129
Epoch 189: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 190: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 191: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 192: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 193: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 194: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 195: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 196: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
