Epoch 115: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.470
Epoch 116: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.473
Epoch 117: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.470
Epoch 118: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.471
Epoch 119: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.471
Epoch 120: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.472
Epoch 121: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.471
Epoch 122: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.470
Epoch 123: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.471
Epoch 124: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 125: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.470
Epoch 126: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.470
Epoch 127: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.471
Epoch 128: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 129: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 130: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 131: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 132: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.468
Epoch 133: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 134: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.470
Epoch 135: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 136: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 137: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.469
Epoch 138: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 139: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.468
Epoch 140: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.468
Epoch 141: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 142: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 143: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 144: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 145: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 146: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 147: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 148: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.466
Epoch 149: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 150: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 151: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 152: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.468
Epoch 153: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.466
Epoch 154: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.466
Epoch 155: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.467
Epoch 156: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.465
Epoch 157: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 158: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 159: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 160: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.466
